ego,alter,network_level,land,communication,ecology,education,mapping,operations,air_quality,mechanical_treatments,prescribed_fire,restoration,strength,satisfaction,quality,fire_spread,operational_capacity,relevance
8,29,SEKI - Undefined,0,0,0,0,1,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
8,31,SEKI - Undefined,0,1,1,1,0,0,0,1,1,1,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
8,7,SEKI - Undefined,0,1,1,1,0,0,0,1,1,1,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Slightly relevant
8,22,SEKI - Undefined,0,1,1,1,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Extremely useful,NA,NA,Slightly relevant
8,11,SEKI - Undefined,0,0,0,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat not useful,NA,NA,Somewhat relevant
8,24,SEKI - Undefined,0,1,1,1,1,0,1,1,1,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
8,15,SEKI - Undefined,0,0,0,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat not useful,NA,NA,Somewhat relevant
8,35,SEKI - Undefined,0,0,0,0,0,0,0,1,1,1,Collaboration,Somewhat satisfied,Somewhat not useful,NA,NA,Somewhat relevant
9,37,SEKI - Defined,0,0,1,0,0,0,0,0,0,1,Collaboration,Extremely satisfied,Extremely good,Extreme,Not confident at all,Extremely relevant
9,5,SEKI - Defined,0,0,1,0,0,0,0,0,0,1,Collaboration,Extremely satisfied,Extremely good,Extreme,Not confident at all,Extremely relevant
9,21,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,29,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,22,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,10,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,23,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,15,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,35,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,25,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
9,26,SEKI - Undefined,0,0,1,0,0,0,0,0,0,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
10,5,SEKI - Defined,0,0,1,0,0,0,0,0,0,0,Collaboration,Extremely satisfied,Extremely good,Moderate,Somewhat confident,Extremely relevant
10,16,SEKI - Defined,0,0,1,0,0,0,0,0,0,0,Coordination,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
10,30,SEKI - Undefined,0,0,1,0,0,0,0,0,0,0,Collaboration,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
10,24,SEKI - Undefined,0,0,1,0,0,0,0,0,0,0,Coordination,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
11,1,SEKI - Defined,0,1,0,0,1,1,1,0,0,0,Coordination,Somewhat dissatisfied,Extremely good,Extreme,Somewhat confident,Extremely relevant
11,18,SEKI - Defined,0,1,0,0,1,1,1,1,1,1,Collaboration,Somewhat dissatisfied,Somewhat good,Extreme,Somewhat confident,Extremely relevant
11,20,SEKI - Undefined,0,1,1,1,1,0,1,1,1,0,Coordination,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
11,21,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Communication,Somewhat satisfied,Somewhat not useful,NA,NA,Slightly relevant
11,31,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Communication,Somewhat satisfied,Somewhat not useful,NA,NA,Slightly relevant
11,7,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
11,32,SEKI - Undefined,0,0,1,1,0,0,1,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
11,22,SEKI - Undefined,0,1,1,1,0,0,0,1,1,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
11,8,SEKI - Undefined,0,1,1,1,0,0,1,1,0,0,Communication,Somewhat satisfied,Somewhat not useful,NA,NA,Slightly relevant
11,23,SEKI - Undefined,0,1,1,1,0,0,1,1,1,0,Coordination,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
11,24,SEKI - Undefined,0,1,1,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Extremely relevant
11,15,SEKI - Undefined,0,1,1,1,1,1,1,1,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
11,35,SEKI - Undefined,0,1,1,1,1,1,1,1,1,0,Collaboration,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
11,25,SEKI - Undefined,0,1,1,1,1,1,1,1,1,1,Communication,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
12,19,SEKI - Defined,1,1,1,0,1,1,1,1,1,0,Collaboration,Somewhat satisfied,Somewhat good,High,Somewhat confident,Extremely relevant
12,2,SEKI - Defined,1,1,0,0,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat good,Low,Somewhat confident,Somewhat relevant
12,5,SEKI - Defined,1,1,0,0,0,1,0,0,1,0,Communication,Extremely satisfied,Somewhat good,Low,Somewhat confident,Somewhat relevant
12,4,SEKI - Defined,1,1,0,1,0,1,0,1,0,0,Collaboration,Somewhat satisfied,Somewhat good,High,Somewhat confident,Extremely relevant
12,13,SEKI - Defined,1,1,1,1,0,1,1,1,1,0,Collaboration,Extremely satisfied,Extremely good,Low,Somewhat confident,Extremely relevant
12,16,SEKI - Defined,1,1,0,0,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat good,Low,Somewhat confident,Extremely relevant
12,36,SEKI - Defined,1,1,0,0,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
12,18,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Somewhat satisfied,Somewhat good,Low,Somewhat confident,Extremely relevant
12,20,SEKI - Undefined,0,0,0,0,0,0,1,0,0,0,Coordination,Extremely satisfied,Extremely useful,NA,NA,Somewhat relevant
12,11,SEKI - Undefined,0,1,1,1,1,1,1,1,1,1,Coordination,Extremely satisfied,Extremely useful,NA,NA,Extremely relevant
12,24,SEKI - Undefined,0,1,1,1,1,1,0,1,1,0,Coordination,Somewhat satisfied,Extremely useful,NA,NA,Extremely relevant
12,15,SEKI - Undefined,0,1,0,1,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Extremely relevant
12,35,SEKI - Undefined,0,1,0,1,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Extremely relevant
12,25,SEKI - Undefined,0,1,1,1,0,0,0,1,1,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
12,26,SEKI - Undefined,0,1,0,1,0,0,0,1,1,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Slightly relevant
13,19,SEKI - Defined,1,1,0,1,0,1,0,1,1,1,Collaboration,Somewhat dissatisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
13,2,SEKI - Defined,1,0,0,1,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
13,12,SEKI - Defined,1,1,1,1,1,1,1,1,1,1,Collaboration,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
13,4,SEKI - Defined,1,1,1,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Somewhat good,Moderate,Somewhat confident,Extremely relevant
13,18,SEKI - Defined,0,1,0,1,0,1,0,1,1,1,Collaboration,Somewhat dissatisfied,Somewhat good,Moderate,Somewhat confident,Slightly relevant
13,20,SEKI - Undefined,0,0,0,0,0,0,1,0,0,0,Coordination,Somewhat satisfied,Somewhat useful,NA,NA,Not relevant at all
13,11,SEKI - Undefined,0,1,1,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
13,24,SEKI - Undefined,0,1,1,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Somewhat useful,NA,NA,Somewhat relevant
14,19,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Not confident at all,Extremely relevant
14,1,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,18,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,27,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,Moderate,Completely confident,Extremely relevant
14,2,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
14,37,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Completely confident,Extremely relevant
14,5,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,12,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,4,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,13,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,16,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,33,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,17,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,34,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,36,SEKI - Defined,0,0,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,High,Slightly confident,Extremely relevant
14,20,SEKI - Undefined,0,0,0,0,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Somewhat relevant
14,32,SEKI - Undefined,0,0,0,0,0,1,0,0,0,0,Communication,Extremely satisfied,Somewhat useful,NA,NA,Somewhat relevant
15,1,SEKI - Defined,0,1,0,1,0,1,0,0,0,0,Collaboration,Extremely satisfied,Extremely good,High,Completely confident,Extremely relevant
15,18,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Extremely good,Moderate,Completely confident,Extremely relevant
15,27,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Somewhat good,Moderate,Somewhat confident,Somewhat relevant
15,37,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Somewhat satisfied,Extremely good,High,Somewhat confident,Extremely relevant
15,5,SEKI - Defined,0,1,0,0,0,1,0,0,1,1,Collaboration,Extremely satisfied,Extremely good,High,Completely confident,Extremely relevant
15,16,SEKI - Defined,0,1,0,1,1,1,1,1,1,1,Collaboration,Extremely satisfied,Extremely good,Extreme,Completely confident,Extremely relevant
15,33,SEKI - Defined,0,1,0,1,1,1,1,1,1,1,Collaboration,Extremely satisfied,Extremely good,Extreme,Completely confident,Extremely relevant
15,17,SEKI - Defined,0,1,0,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Extremely good,Extreme,Completely confident,Extremely relevant
15,34,SEKI - Defined,0,1,0,1,1,1,1,1,1,1,Collaboration,Somewhat satisfied,Extremely good,Extreme,Completely confident,Extremely relevant
15,36,SEKI - Defined,0,1,0,0,0,1,0,0,0,0,Collaboration,Extremely satisfied,Extremely good,Extreme,Completely confident,Extremely relevant
15,67,SEKI - Undefined,0,1,0,1,0,1,0,0,0,0,Communication,Somewhat satisfied,Somewhat useful,NA,NA,Slightly relevant
